color_name,rgb,red,green,blue,hue_degree,saturation_percent,lightness_percent,hue,saturation,brightness,xy,hue_xy,livingcolors_xy
aqua,#00ffff,0,255,255,180,100,50,32767,254,127,"{0.224650,0.328741}","{0.383525,0.421808}","{0.333057,0.482129}"
aquamarine,#7fffd4,127,255,212,159.8,100,74.9,29090,254,190,"{0.262969,0.445536}","{0.474828,0.400386}","{0.365017,0.470854}"
army green,#4b5320,75,83,32,69.4,44.3,22.5,12633,112,57,"{0.375394,0.480333}","{0.435105,0.477517}","{0.391512,0.442085}"
arylide yellow,#e9d66b,233,214,107,51,74.1,66.7,9284,188,169,"{0.446683,0.467140}","{0.529362,0.396990}","{0.397392,0.458766}"
ash grey,#b2beb5,178,190,181,135,8.5,72.2,24575,21,183,"{0.306618,0.354711}","{0.493813,0.405581}","{0.386429,0.451663}"
asparagus,#87a96b,135,169,107,92.9,26.5,54.1,16911,67,137,"{0.333761,0.501457}","{0.477933,0.431177}","{0.384408,0.457200}"
atomic tangerine,#ff9966,255,153,102,20,100,70,3640,254,178,"{0.583697,0.358167}","{0.526975,0.401894}","{0.413876,0.439985}"
auburn,#a52a2a,165,42,42,0,59.4,40.6,0,150,103,"{0.617599,0.329932}","{0.474059,0.449377}","{0.429268,0.409952}"
aureolin,#fdee00,253,238,0,56.4,100,49.6,10267,254,126,"{0.444619,0.485155}","{0.548273,0.395808}","{0.402433,0.471224}"
aurometalsaurus,#6e7f80,110,127,128,183.3,7.6,46.7,33368,19,119,"{0.277774,0.325105}","{0.454212,0.444447}","{0.384696,0.444119}"
awesome,#ff2052,255,32,82,346.5,100,56.3,63077,254,143,"{0.632319,0.326698}","{0.507695,0.421297}","{0.450821,0.392626}"
azure,#007fff,0,127,255,210.1,100,50,38246,254,127,"{0.155310,0.079117}","{0.369032,0.452728}","{0.343852,0.443636}"
azure mist/web,#f0ffff,240,255,255,180,100,97.1,32767,254,246,"{0.292990,0.328949}","{0.519899,0.372991}","{0.385314,0.456228}"
baby blue,#89cff0,137,207,240,199.2,77.4,73.9,36262,196,187,"{0.208892,0.235061}","{0.467058,0.402521}","{0.371854,0.455440}"
baby blue eyes,#a1caf1,161,202,241,209.3,74.1,78.8,38101,188,200,"{0.215960,0.222130}","{0.478599,0.398035}","{0.377803,0.451514}"
baby pink,#f4c2c2,244,194,194,0,69.4,85.9,0,176,218,"{0.415389,0.329319}","{0.520374,0.389339}","{0.398443,0.445276}"
ball blue,#21abcd,33,171,205,191.9,72.3,46.7,34933,183,119,"{0.194453,0.218020}","{0.404148,0.446661}","{0.351860,0.460459}"
banana mania,#fae7b5,250,231,181,43.5,87.3,84.5,7918,221,214,"{0.408904,0.419106}","{0.530180,0.383964}","{0.394070,0.455320}"
banana yellow,#ffe135,255,225,53,51.1,100,60.4,9302,254,153,"{0.471317,0.462242}","{0.543292,0.394500}","{0.402365,0.463669}"
battleship grey,#848482,132,132,130,60,0.8,51.4,10922,2,131,"{0.316801,0.335769}","{0.466778,0.435962}","{0.389273,0.443149}"
bazaar,#98777b,152,119,123,352.7,13.8,53.1,64206,35,135,"{0.394050,0.318814}","{0.475350,0.432863}","{0.397503,0.436892}"
beau blue,#bcd4e6,188,212,230,205.7,45.7,82,37445,116,208,"{0.255237,0.280126}","{0.495063,0.392422}","{0.382583,0.452475}"
beaver,#9f8170,159,129,112,21.7,19.7,53.1,3950,50,135,"{0.427362,0.369338}","{0.481776,0.430224}","{0.397730,0.440887}"
beige,#f5f5dc,245,245,220,60,55.6,91.2,10922,141,231,"{0.345294,0.382877}","{0.525460,0.378252}","{0.389208,0.456101}"
bisque,#ffe4c4,255,228,196,32.5,100,88.4,5916,254,224,"{0.404681,0.388202}","{0.529580,0.381978}","{0.394731,0.452960}"
bistre,#3d2b1f,61,43,31,24,32.6,18,4369,82,46,"{0.403676,0.373958}","{0.420016,0.489922}","{0.398455,0.424022}"
bittersweet,#fe6f5e,254,111,94,6.4,98.8,68.2,1165,250,173,"{0.616383,0.334618}","{0.520028,0.409007}","{0.424373,0.426550}"
black,#000000,0,0,0,0,0,0,0,0,1,"{0.000000,0.000000}","{0.380388,0.524899}","{0.392470,0.408337}"
blanched almond,#ffebcd,255,235,205,36,100,90.2,6553,254,229,"{0.387282,0.386973}","{0.529525,0.379939}","{0.393210,0.453966}"
bleu de france,#318ce7,49,140,231,210,79.1,54.9,38228,200,139,"{0.163557,0.105919}","{0.405670,0.441916}","{0.359023,0.445161}"
blizzard blue,#ace5ee,172,229,238,188.2,66,80.4,34260,167,204,"{0.241135,0.303902}","{0.489064,0.391234}","{0.376505,0.457767}"
blond,#faf0be,250,240,190,50,85.7,86.3,9102,217,219,"{0.390610,0.423402}","{0.530503,0.381635}","{0.392252,0.456768}"
blue,#0000ff,0,0,255,240,100,50,43690,254,127,"{0.150000,0.060000}","{0.357167,0.478040}","{0.364871,0.368688}"
blue bell,#a2a2d0,162,162,208,240,32.9,72.5,43690,83,184,"{0.234943,0.200435}","{0.477429,0.410623}","{0.386148,0.442464}"
blue gray,#6699cc,102,153,204,210,50,60,38228,127,152,"{0.189832,0.172626}","{0.444153,0.429252}","{0.373281,0.446319}"
blue green,#0d98ba,13,152,186,191.8,86.9,39,34915,220,99,"{0.192099,0.210683}","{0.391355,0.462205}","{0.349152,0.459033}"
blue purple,#8a2be2,138,43,226,271.1,75.9,52.7,49351,192,134,"{0.174727,0.075114}","{0.443107,0.435709}","{0.405391,0.392280}"
blue violet,#8a2be2,138,43,226,271.1,75.9,52.7,49351,192,134,"{0.174727,0.075114}","{0.443107,0.435709}","{0.405391,0.392280}"
blush,#de5d83,222,93,131,342.3,66.2,61.8,62312,168,157,"{0.562695,0.303896}","{0.501499,0.416605}","{0.419782,0.418964}"
bole,#79443b,121,68,59,8.7,34.4,35.3,1583,87,90,"{0.506866,0.343718}","{0.455731,0.459271}","{0.407142,0.425909}"
bondi blue,#0095b6,0,149,182,190.9,100,35.7,34751,254,91,"{0.192300,0.212279}","{0.383082,0.468388}","{0.345601,0.460295}"
bone,#e3dac9,227,218,201,39.2,31.7,83.9,7136,80,213,"{0.353172,0.367639}","{0.516899,0.387864}","{0.390834,0.452662}"
boston university red,#cc0000,204,0,0,0,100,40,0,254,102,"{0.640000,0.330000}","{0.486087,0.445547}","{0.461435,0.386511}"
bottle green,#006a4e,0,106,78,164.2,100,20.8,29891,254,53,"{0.259431,0.453952}","{0.389748,0.499116}","{0.358076,0.457199}"
boysenberry,#873260,135,50,96,327.5,45.9,36.3,59618,116,92,"{0.465720,0.261296}","{0.456747,0.453426}","{0.413466,0.410940}"
brandeis blue,#0070ff,0,112,255,213.6,100,50,38884,254,127,"{0.153268,0.071766}","{0.367503,0.455989}","{0.345597,0.437414}"
brass,#b5a642,181,166,66,52.2,46.6,48.4,9502,118,123,"{0.446451,0.470673}","{0.503291,0.421735}","{0.397937,0.454944}"
brick red,#cb4154,203,65,84,351.7,57,52.5,64024,144,133,"{0.609643,0.323760}","{0.492522,0.430382}","{0.427266,0.413158}"
bright cerulean,#1dacd6,29,172,214,193.6,76.1,47.6,35243,193,121,"{0.188722,0.198016}","{0.400176,0.445432}","{0.350109,0.460336}"
bright green,#66ff00,102,255,0,96,100,50,17476,254,127,"{0.302898,0.597699}","{0.488762,0.437958}","{0.369380,0.493028}"
bright lavender,#bf94e4,191,148,228,272.3,59.7,73.7,49569,151,187,"{0.244798,0.154787}","{0.486099,0.403377}","{0.394073,0.433246}"
bright maroon,#c32148,195,33,72,345.6,71.1,44.7,62913,180,114,"{0.619042,0.322124}","{0.484153,0.438793}","{0.437485,0.398883}"
bright pink,#ff007f,255,0,127,330.1,100,50,60091,254,127,"{0.608304,0.312534}","{0.499156,0.422719}","{0.459702,0.369480}"
bright turquoise,#08e8de,8,232,222,177.3,93.3,47.1,32275,236,120,"{0.233021,0.358739}","{0.392909,0.435768}","{0.338224,0.478898}"
bright ube,#d19fe8,209,159,232,281.1,61.3,76.7,51171,155,195,"{0.271350,0.176014}","{0.495422,0.397116}","{0.395663,0.434863}"
brilliant lavender,#f4bbff,244,187,255,290.3,100,86.7,52846,254,220,"{0.296995,0.199496}","{0.511049,0.383105}","{0.396474,0.438383}"
brilliant rose,#ff55a3,255,85,163,332.5,100,66.7,60528,254,169,"{0.552885,0.287992}","{0.510039,0.406978}","{0.426784,0.409876}"
brink pink,#fb607f,251,96,127,348,95.1,68,63350,241,173,"{0.598623,0.317924}","{0.513678,0.409406}","{0.425482,0.418015}"
british racing green,#004225,0,66,37,153.6,100,12.9,27961,254,33,"{0.262598,0.465353}","{0.387297,0.511716}","{0.368995,0.444793}"
bronze,#cd7f32,205,127,50,29.8,60.8,50,5424,154,127,"{0.576756,0.372705}","{0.507267,0.422456}","{0.412912,0.441338}"
brown,#a52a2a,165,42,42,0,59.4,40.6,0,150,103,"{0.617599,0.329932}","{0.474059,0.449377}","{0.429268,0.409952}"
bubble gum,#ffc1cc,255,193,204,349.4,100,87.8,63605,254,223,"{0.421230,0.310611}","{0.523008,0.386417}","{0.400187,0.443199}"
bubbles,#e7feff,231,254,255,182.5,100,95.3,33222,254,242,"{0.282423,0.326561}","{0.516241,0.374406}","{0.383812,0.456810}"
buff,#f0dc82,240,220,130,49.1,78.6,72.5,8938,199,184,"{0.441438,0.457766}","{0.530610,0.392545}","{0.396521,0.457660}"
bulgarian rose,#480607,72,6,7,359.1,84.6,15.3,65371,214,39,"{0.599948,0.327906}","{0.421352,0.493194}","{0.418662,0.402323}"
burgundy,#800020,128,0,32,345,100,25.1,62804,254,64,"{0.614655,0.316034}","{0.448805,0.470009}","{0.437030,0.388790}"
burlywood,#deb887,222,184,135,33.8,56.9,70,6153,144,178,"{0.463343,0.407880}","{0.517083,0.401647}","{0.399110,0.449528}"
burnt orange,#cc5500,204,85,0,25,100,40,4551,254,102,"{0.623938,0.342755}","{0.501835,0.432477}","{0.428006,0.430719}"
burnt sienna,#e97451,233,116,81,13.8,77.6,61.6,2512,197,156,"{0.606647,0.343147}","{0.514110,0.414365}","{0.419604,0.431576}"
burnt umber,#8a3324,138,51,36,8.8,58.6,34.1,1601,148,87,"{0.592200,0.339881}","{0.462919,0.457898}","{0.419324,0.418257}"
byzantine,#bd33a4,189,51,164,310.9,57.5,47.1,56596,146,120,"{0.399708,0.202529}","{0.476704,0.428733}","{0.421702,0.399182}"
byzantium,#702963,112,41,99,311,46.4,30,56614,117,76,"{0.369464,0.208654}","{0.442834,0.462710}","{0.409350,0.407979}"
cg blue,#007aa5,0,122,165,195.6,100,32.4,35607,254,82,"{0.181583,0.173698}","{0.381966,0.478060}","{0.349918,0.452410}"
cg red,#e03c31,224,60,49,3.8,73.8,53.5,691,187,136,"{0.631666,0.331060}","{0.502704,0.427625}","{0.436687,0.412537}"
cadet,#536872,83,104,114,199.4,15.7,38.6,36299,39,98,"{0.252668,0.287255}","{0.436288,0.460351}","{0.382826,0.440060}"
cadet blue,#5f9ea0,95,158,160,181.8,25.5,50,33095,64,127,"{0.236176,0.321282}","{0.447318,0.438468}","{0.373205,0.453238}"
cadet grey,#91a3b0,145,163,176,205.2,16.4,62.9,37354,41,160,"{0.260836,0.286546}","{0.473485,0.419778}","{0.383849,0.447546}"
cadmium green,#006b3c,0,107,60,153.6,100,21,27961,254,54,"{0.276316,0.514736}","{0.391550,0.501977}","{0.359180,0.460031}"
cadmium orange,#ed872d,237,135,45,28.1,84.2,55.3,5115,213,140,"{0.598974,0.359369}","{0.521545,0.412826}","{0.418079,0.441153}"
cadmium red,#e30022,227,0,34,351,100,44.5,63896,254,113,"{0.637954,0.328872}","{0.494058,0.436686}","{0.463123,0.380946}"
cadmium yellow,#fff600,255,246,0,57.9,100,50,10540,254,127,"{0.434034,0.493561}","{0.550313,0.394195}","{0.401409,0.472746}"
café au lait,#a67b5b,166,123,91,25.6,29.6,50.4,4660,75,128,"{0.488867,0.383967}","{0.486003,0.431329}","{0.402151,0.440087}"
café noir,#4b3621,75,54,33,30,38.9,21.2,5461,98,54,"{0.427247,0.391663}","{0.429788,0.482176}","{0.399564,0.427900}"
cal poly pomona green,#1e4d2b,30,77,43,136.6,43.9,21,24866,111,54,"{0.288955,0.469111}","{0.406624,0.496306}","{0.377170,0.444500}"
cambridge blue,#a3c1ad,163,193,173,140,19.5,69.8,25485,49,177,"{0.296098,0.389029}","{0.488322,0.409865}","{0.383113,0.454787}"
camel,#c19a6b,193,154,107,32.8,41,58.8,5970,104,149,"{0.478509,0.405193}","{0.502546,0.416597}","{0.400531,0.446073}"
camouflage green,#78866b,120,134,107,91.1,11.2,47.3,16583,28,120,"{0.331270,0.420398}","{0.463287,0.442606}","{0.387283,0.447656}"
canary,#ffff99,255,255,153,60,100,80,10922,254,203,"{0.405462,0.482351}","{0.539121,0.382279}","{0.392617,0.462568}"
canary yellow,#ffef00,255,239,0,56.2,100,50,10230,254,127,"{0.446224,0.483881}","{0.549065,0.395221}","{0.402618,0.471229}"
candy apple red,#ff0800,255,8,0,1.9,100,50,345,254,127,"{0.639882,0.330094}","{0.507823,0.429130}","{0.469175,0.387709}"
candy pink,#e4717a,228,113,122,355.3,68,66.9,64679,172,170,"{0.574774,0.323631}","{0.508226,0.412759}","{0.416501,0.427087}"
capri,#00bfff,0,191,255,195.1,100,50,35516,254,127,"{0.178229,0.161624}","{0.375952,0.437964}","{0.337697,0.465584}"
caput mortuum,#592720,89,39,32,7.4,47.1,23.7,1347,119,60,"{0.505973,0.344714}","{0.435027,0.478991}","{0.409084,0.417977}"
cardinal,#c41e3a,196,30,58,349.9,73.5,44.3,63696,186,113,"{0.626714,0.325789}","{0.484981,0.440004}","{0.440212,0.398680}"
caribbean green,#00cc99,0,204,153,165,100,40,30036,254,102,"{0.269180,0.489049}","{0.395279,0.464196}","{0.341580,0.480117}"
carmine,#ff0040,255,0,64,344.9,100,50,62786,254,127,"{0.636322,0.327973}","{0.503354,0.427081}","{0.466189,0.375962}"
carmine pink,#eb4c42,235,76,66,3.6,80.9,59,655,205,150,"{0.628319,0.331367}","{0.508813,0.421037}","{0.432505,0.416997}"
carmine red,#ff0038,255,0,56,346.8,100,50,63132,254,127,"{0.637216,0.328466}","{0.503803,0.427547}","{0.467032,0.376805}"
carnation pink,#ffa6c9,255,166,201,336.4,100,82.5,61238,254,209,"{0.443539,0.278757}","{0.519072,0.390857}","{0.405380,0.435581}"
carnelian,#b31b1b,179,27,27,0,73.8,40.4,0,187,103,"{0.632493,0.329977}","{0.478670,0.448076}","{0.440140,0.402037}"
carolina blue,#99badd,153,186,221,210.9,50,73.3,38392,127,186,"{0.221678,0.227289}","{0.475051,0.406236}","{0.379456,0.449538}"
carrot orange,#ed9121,237,145,33,32.9,85,52.9,5989,215,134,"{0.588014,0.369493}","{0.524114,0.411998}","{0.416442,0.445507}"
celadon,#ace1af,172,225,175,123.4,46.9,77.8,22463,119,197,"{0.303655,0.462244}","{0.498137,0.401534}","{0.380084,0.462066}"
celeste,#b2ffff,178,255,255,180,100,84.9,32767,254,215,"{0.242488,0.328796}","{0.493307,0.382510}","{0.373598,0.462036}"
celestial blue,#4997d0,73,151,208,205.3,59,55.1,37373,149,140,"{0.179968,0.157602}","{0.425929,0.437567}","{0.365610,0.448599}"
cerise,#de3163,222,49,99,342.7,72.4,53.1,62385,183,135,"{0.612155,0.318497}","{0.496516,0.426283}","{0.435742,0.402203}"
cerise pink,#ec3b83,236,59,131,335.6,82.3,57.8,61093,209,147,"{0.586232,0.304169}","{0.501287,0.418347}","{0.432923,0.402767}"
cerulean,#007ba7,0,123,167,195.8,100,32.7,35643,254,83,"{0.181014,0.171650}","{0.381826,0.477381}","{0.349660,0.452555}"
cerulean blue,#2a52be,42,82,190,223.8,63.8,45.5,40740,162,116,"{0.156861,0.078645}","{0.399236,0.465238}","{0.368975,0.426290}"
chamoisee,#a0785a,160,120,90,25.7,28,49,4678,71,124,"{0.480180,0.384055}","{0.482666,0.433830}","{0.401468,0.439764}"
champagne,#fad6a5,250,214,165,34.6,89.5,81.4,6298,227,206,"{0.445957,0.407569}","{0.529300,0.388188}","{0.397627,0.452366}"
charcoal,#36454f,54,69,79,204,18.8,26.1,37136,47,67,"{0.260533,0.286071}","{0.416677,0.482792}","{0.384450,0.432331}"
chartreuse,#7fff00,127,255,0,90.1,100,50,16401,254,127,"{0.306676,0.594699}","{0.501801,0.428651}","{0.374886,0.489712}"
cherry,#de3163,222,49,99,342.7,72.4,53.1,62385,183,135,"{0.612155,0.318497}","{0.496516,0.426283}","{0.435742,0.402203}"
cherry blossom pink,#ffb7c5,255,183,197,348.3,100,85.9,63405,254,218,"{0.441831,0.307376}","{0.522273,0.388695}","{0.402367,0.440943}"
chestnut,#cd5c5c,205,92,92,0,53.1,58.2,0,134,148,"{0.593787,0.329860}","{0.497632,0.424827}","{0.419082,0.423971}"
chocolate,#d2691e,210,105,30,25,75,47.1,4551,190,120,"{0.610489,0.350401}","{0.506465,0.425837}","{0.421180,0.434844}"
chrome yellow,#ffa700,255,167,0,39.3,100,50,7154,254,127,"{0.576753,0.380225}","{0.536139,0.405848}","{0.416960,0.453232}"
cinereous,#98817b,152,129,123,12.4,12.3,53.9,2257,31,137,"{0.385077,0.345642}","{0.477203,0.431096}","{0.395317,0.440549}"
cinnabar,#e34234,227,66,52,4.8,75.8,54.7,873,192,139,"{0.630842,0.331476}","{0.504795,0.425669}","{0.435092,0.414718}"
cinnamon,#d2691e,210,105,30,25,75,47.1,4551,190,120,"{0.610489,0.350401}","{0.506465,0.425837}","{0.421180,0.434844}"
citrine,#e4d00a,228,208,10,54.5,91.6,46.7,9921,232,119,"{0.456788,0.475255}","{0.533953,0.405788}","{0.402679,0.466125}"
classic rose,#fbcce7,251,204,231,325.5,85.5,89.2,59254,217,226,"{0.354719,0.276175}","{0.519732,0.382314}","{0.396158,0.444415}"
cobalt,#0047ab,0,71,171,215.1,100,33.5,39157,254,85,"{0.155408,0.079468}","{0.374897,0.486112}","{0.357291,0.428468}"
cocoa brown,#d2691e,210,105,30,25,75,47.1,4551,190,120,"{0.610489,0.350401}","{0.506465,0.425837}","{0.421180,0.434844}"
coffee,#6f4e37,111,78,55,24.6,33.7,32.5,4478,85,83,"{0.465341,0.376975}","{0.452571,0.461724}","{0.401758,0.432258}"
columbia blue,#9bddff,155,221,255,200.4,100,80.4,36481,254,204,"{0.212065,0.237356}","{0.476283,0.393182}","{0.373198,0.456015}"
cool  black,#002e63,0,46,99,212.1,100,19.4,38611,254,50,"{0.169160,0.128976}","{0.379516,0.504996}","{0.368222,0.424534}"
cool grey,#8c92ac,140,146,172,228.8,16.2,61.2,41651,41,155,"{0.253465,0.244719}","{0.468382,0.424962}","{0.385935,0.442913}"
copper,#b87333,184,115,51,28.9,56.6,46.1,5261,143,117,"{0.566900,0.375244}","{0.495942,0.430604}","{0.411093,0.439260}"
copper rose,#996666,153,102,102,0,20,50,0,50,127,"{0.466962,0.329476}","{0.474772,0.437911}","{0.403213,0.432372}"
coquelicot,#ff3800,255,56,0,13.2,100,50,2402,254,127,"{0.638086,0.331520}","{0.516265,0.422189}","{0.449083,0.412922}"
coral, #ff7f50,255,127,80,16.1,100,65.7,2930,254,167,"{0.612363,0.343733}","{0.524199,0.407359}","{0.421402,0.433440}"
coral pink,#f88379,248,131,121,4.7,90.1,72.4,855,228,184,"{0.585713,0.335699}","{0.519059,0.405290}","{0.416341,0.431762}"
coral red,#ff4040,255,64,64,0,100,62.5,0,254,159,"{0.633839,0.329981}","{0.514340,0.417739}","{0.440848,0.410123}"
cordovan,#893f45,137,63,69,355.1,37,39.2,64642,93,100,"{0.537465,0.322702}","{0.462326,0.453348}","{0.412288,0.420498}"
corn,#fbec5d,251,236,93,54.3,95.2,67.5,9884,241,171,"{0.441884,0.480821}","{0.540704,0.390964}","{0.397743,0.463379}"
cornell red,#b31b1b,179,27,27,0,73.8,40.4,0,187,103,"{0.632493,0.329977}","{0.478670,0.448076}","{0.440140,0.402037}"
cornflower,#9aceeb,154,206,235,201.5,66.9,76.3,36681,169,194,"{0.220029,0.246452}","{0.476704,0.399819}","{0.376005,0.453842}"
cornflower blue,#6495ed,100,149,237,218.5,79.2,66.1,39776,201,168,"{0.169311,0.114059}","{0.437134,0.424061}","{0.371494,0.441894}"
cornsilk,#fff8dc,255,248,220,48,100,93.1,8738,254,236,"{0.359812,0.386109}","{0.529527,0.376282}","{0.390569,0.455894}"
cosmic latte,#fff8e7,255,248,231,42.5,100,95.3,7736,254,242,"{0.345975,0.364602}","{0.527978,0.374991}","{0.390067,0.455068}"
cotton candy,#ffbcd9,255,188,217,334,100,86.9,60801,254,220,"{0.397690,0.279026}","{0.520568,0.385733}","{0.400394,0.440754}"
cream,#fffdd0,255,253,208,57.4,100,90.8,10449,254,230,"{0.369890,0.417275}","{0.531946,0.376896}","{0.390391,0.457944}"
crimson,#dc143c,220,20,60,348,83.3,47.1,63350,211,120,"{0.632561,0.326859}","{0.493274,0.434161}","{0.449846,0.390823}"
crimson red,#990000,153,0,0,0,100,30,0,254,76,"{0.640000,0.330000}","{0.462861,0.462984}","{0.448066,0.390742}"
crimson glory,#be0032,190,0,50,344.2,100,37.3,62658,254,95,"{0.630296,0.324652}","{0.477447,0.447105}","{0.452354,0.381655}"
cyan,#00ffff,0,255,255,180,100,50,32767,254,127,"{0.224650,0.328741}","{0.383525,0.421808}","{0.333057,0.482129}"
daffodil,#ffff31,255,255,49,60,100,59.6,10922,254,151,"{0.418895,0.504559}","{0.548825,0.390317}","{0.397518,0.470699}"
dandelion,#f0e130,240,225,48,55.3,86.5,56.5,10066,219,143,"{0.445056,0.483163}","{0.538745,0.398097}","{0.399856,0.465644}"
dark blue,#00008b,0,0,139,240,100,27.3,43690,254,70,"{0.150000,0.060000}","{0.370296,0.504534}","{0.376604,0.385544}"
dark brown,#654321,101,67,33,30,50.7,26.3,5461,128,67,"{0.488868,0.394071}","{0.446659,0.469565}","{0.403798,0.431054}"
dark byzantium,#5d3954,93,57,84,315,24,29.4,57343,60,75,"{0.348165,0.250377}","{0.436550,0.468874}","{0.399913,0.420654}"
dark candy apple red,#a40000,164,0,0,0,100,32.2,0,254,82,"{0.640000,0.330000}","{0.468110,0.459043}","{0.451116,0.389777}"
dark cerulean,#08457e,8,69,126,209,88.1,26.3,38046,223,67,"{0.168879,0.124276}","{0.384596,0.493154}","{0.364190,0.432402}"
dark chestnut,#986960,152,105,96,9.6,22.6,48.6,1747,57,123,"{0.473093,0.347052}","{0.475394,0.438363}","{0.402651,0.434312}"
dark coral,#cd5b45,205,91,69,9.7,57.6,53.7,1765,146,136,"{0.608887,0.338135}","{0.499216,0.426843}","{0.421084,0.425886}"
dark cyan,#008b8b,0,139,139,180,100,27.3,32767,254,70,"{0.224650,0.328741}","{0.387695,0.480904}","{0.349319,0.461931}"
dark electric blue,#536878,83,104,120,205.9,18.2,39.8,37482,46,101,"{0.241780,0.263154}","{0.435640,0.459445}","{0.382402,0.439369}"
dark goldenrod,#b8860b,184,134,11,42.7,88.7,38.2,7773,225,97,"{0.535646,0.411737}","{0.502216,0.430209}","{0.409155,0.449989}"
dark gray,#a9a9a9,169,169,169,0,0,66.3,0,0,168,"{0.312712,0.329008}","{0.487403,0.413221}","{0.388706,0.447509}"
dark green,#013220,1,50,32,158,96.1,10,28762,244,26,"{0.254307,0.430250}","{0.385947,0.514248}","{0.373679,0.436811}"
dark jungle green,#1a2421,26,36,33,162,16.1,12.2,29490,40,31,"{0.289532,0.346034}","{0.398471,0.505503}","{0.387529,0.424528}"
dark khaki,#bdb76b,189,183,107,55.6,38.3,58,10121,97,147,"{0.415284,0.470247}","{0.506237,0.412761}","{0.394037,0.455151}"
dark lava,#483c32,72,60,50,27.3,18,23.9,4969,45,61,"{0.369341,0.360990}","{0.427941,0.480622}","{0.395297,0.429173}"
dark lavender,#734f96,115,79,150,270.4,31,44.9,49224,78,114,"{0.228866,0.136341}","{0.445935,0.448277}","{0.395207,0.421291}"
dark magenta,#8b008b,139,0,139,300,100,27.3,54612,254,70,"{0.320913,0.154176}","{0.446374,0.455301}","{0.428597,0.374580}"
dark midnight blue,#003366,0,51,102,210,100,20,38228,254,51,"{0.170649,0.134337}","{0.379881,0.503689}","{0.366817,0.427046}"
dark olive green,#556b2f,85,107,47,82,39,30.2,14927,99,77,"{0.348724,0.504647}","{0.444229,0.467727}","{0.387565,0.448871}"
dark orange,#ff8c00,255,140,0,32.9,100,50,5989,254,127,"{0.608130,0.355308}","{0.531281,0.409843}","{0.423429,0.445114}"
dark orchid,#9932cc,153,50,204,280.1,60.6,49.8,50989,153,126,"{0.209728,0.095936}","{0.454686,0.433709}","{0.409347,0.397330}"
dark pastel blue,#779ecb,119,158,203,212.1,44.7,63.1,38611,113,160,"{0.201011,0.190080}","{0.454807,0.423564}","{0.376849,0.446181}"
dark pastel green,#03c03c,3,192,60,138.1,96.9,38.2,25139,246,97,"{0.297867,0.592089}","{0.407588,0.485623}","{0.348482,0.486969}"
dark pastel purple,#966fd6,150,111,214,262.7,55.7,63.7,47822,141,162,"{0.198970,0.107848}","{0.461869,0.422110}","{0.392708,0.424863}"
dark pastel red,#c23b22,194,59,34,9.4,70.2,44.7,1711,178,114,"{0.627479,0.334106}","{0.490880,0.437728}","{0.431308,0.416543}"
